% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.210000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
383 0 +3.351501814e+02 +1.091401814e+02 +1.091401814e+02
442 0 +3.349368596e+02 +1.089268596e+02 +1.089268596e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.982982964e+02 +1.798298296e+03 +1.798298296e+03
3 0 +6.804605738e+02 +1.680460574e+03 +1.680460574e+03
39 0 +6.249096382e+02 +1.624909638e+03 +1.624909638e+03
112 0 +4.635205343e+02 +1.463520534e+03 +1.463520534e+03
160 0 +4.294975366e+02 +1.429497537e+03 +1.429497537e+03
435 0 +3.952468318e+02 +1.395246832e+03 +1.395246832e+03
442 0 +3.952468318e+02 +1.395246832e+03 +1.395246832e+03
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.830200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.245286895e+02 +4.415086895e+02 +4.415086895e+02
100 0 +5.937666365e+02 +4.107466365e+02 +4.107466365e+02
145 0 +5.487080285e+02 +3.656880285e+02 +3.656880285e+02
226 0 +4.593939688e+02 +2.763739688e+02 +2.763739688e+02
252 0 +4.451832000e+02 +2.621632000e+02 +2.621632000e+02
334 0 +3.773139175e+02 +1.942939175e+02 +1.942939175e+02
405 0 +3.434829082e+02 +1.604629082e+02 +1.604629082e+02
442 0 +3.235855373e+02 +1.405655373e+02 +1.405655373e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.026200000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.011492886e+02 +5.985292886e+02 +5.985292886e+02
4 0 +6.758592084e+02 +5.732392084e+02 +5.732392084e+02
34 0 +5.412541986e+02 +4.386341986e+02 +4.386341986e+02
73 0 +4.735828905e+02 +3.709628905e+02 +3.709628905e+02
172 0 +4.285832533e+02 +3.259632533e+02 +3.259632533e+02
195 0 +3.775318702e+02 +2.749118702e+02 +2.749118702e+02
288 0 +2.727875974e+02 +1.701675974e+02 +1.701675974e+02
418 0 +2.484021143e+02 +1.457821143e+02 +1.457821143e+02
442 0 +2.484021143e+02 +1.457821143e+02 +1.457821143e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (9.953000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.204254990e+02 +1.019955499e+03 +1.019955499e+03
2 0 +7.517104625e+02 +8.512404625e+02 +8.512404625e+02
3 0 +6.900179651e+02 +7.895479651e+02 +7.895479651e+02
18 0 +6.231390115e+02 +7.226690115e+02 +7.226690115e+02
22 0 +5.538297394e+02 +6.533597394e+02 +6.533597394e+02
144 0 +5.007860767e+02 +6.003160767e+02 +6.003160767e+02
217 0 +4.235998689e+02 +5.231298689e+02 +5.231298689e+02
273 0 +3.824984977e+02 +4.820284977e+02 +4.820284977e+02
381 0 +3.464308923e+02 +4.459608923e+02 +4.459608923e+02
427 0 +2.818897543e+02 +3.814197543e+02 +3.814197543e+02
442 0 +2.818897543e+02 +3.814197543e+02 +3.814197543e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.495900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.212249473e+02 +8.708149473e+02 +8.708149473e+02
8 0 +6.598648016e+02 +8.094548016e+02 +8.094548016e+02
24 0 +5.712044444e+02 +7.207944444e+02 +7.207944444e+02
41 0 +5.226364330e+02 +6.722264330e+02 +6.722264330e+02
184 0 +4.864974329e+02 +6.360874329e+02 +6.360874329e+02
189 0 +4.421707689e+02 +5.917607689e+02 +5.917607689e+02
229 0 +3.617968235e+02 +5.113868235e+02 +5.113868235e+02
304 0 +3.155537096e+02 +4.651437096e+02 +4.651437096e+02
426 0 +2.805536582e+02 +4.301436582e+02 +4.301436582e+02
442 0 +2.741219696e+02 +4.237119696e+02 +4.237119696e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.315420714e+02 -6.845792856e+01 -6.845792856e+01
2 0 +8.717596287e+02 -1.282403713e+02 -1.282403713e+02
3 0 +7.745758825e+02 -2.254241175e+02 -2.254241175e+02
13 0 +6.747606267e+02 -3.252393733e+02 -3.252393733e+02
78 0 +5.862815837e+02 -4.137184163e+02 -4.137184163e+02
140 0 +5.317252107e+02 -4.682747893e+02 -4.682747893e+02
148 0 +4.823068384e+02 -5.176931616e+02 -5.176931616e+02
190 0 +4.099877975e+02 -5.900122025e+02 -5.900122025e+02
219 0 +3.479648682e+02 -6.520351318e+02 -6.520351318e+02
361 0 +3.104223608e+02 -6.895776392e+02 -6.895776392e+02
434 0 +2.799350273e+02 -7.200649727e+02 -7.200649727e+02
442 0 +2.799350273e+02 -7.200649727e+02 -7.200649727e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.922000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.166074187e+02 +8.873874187e+02 +8.873874187e+02
2 0 +7.878326534e+02 +7.586126534e+02 +7.586126534e+02
11 0 +6.801739478e+02 +6.509539478e+02 +6.509539478e+02
23 0 +5.867881098e+02 +5.575681098e+02 +5.575681098e+02
72 0 +4.914141103e+02 +4.621941103e+02 +4.621941103e+02
189 0 +4.095485207e+02 +3.803285207e+02 +3.803285207e+02
227 0 +3.398057780e+02 +3.105857780e+02 +3.105857780e+02
324 0 +2.989206669e+02 +2.697006669e+02 +2.697006669e+02
332 0 +2.571090480e+02 +2.278890480e+02 +2.278890480e+02
442 0 +2.571090480e+02 +2.278890480e+02 +2.278890480e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.096000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.852074206e+02 +8.442474206e+02 +8.442474206e+02
2 0 +7.810090866e+02 +7.400490866e+02 +7.400490866e+02
3 0 +6.880856613e+02 +6.471256613e+02 +6.471256613e+02
8 0 +6.243515341e+02 +5.833915341e+02 +5.833915341e+02
89 0 +5.528842101e+02 +5.119242101e+02 +5.119242101e+02
155 0 +4.776519782e+02 +4.366919782e+02 +4.366919782e+02
230 0 +4.434870276e+02 +4.025270276e+02 +4.025270276e+02
337 0 +3.909764630e+02 +3.500164630e+02 +3.500164630e+02
382 0 +3.493721122e+02 +3.084121122e+02 +3.084121122e+02
442 0 +3.425732986e+02 +3.016132986e+02 +3.016132986e+02
